room_name,room_type,x,y,z,depth,degree
balcony_d_9_5,balcony,4.349142999999999,0.49963099999999977,25.499999999999996,12,1
balcony_d_9_4,balcony,1.4379274999999985,0.4996309999999997,25.499999999999996,11,2
balcony_d_7_18,balcony,13.1109855,3.2757910000000003,19.5,12,1
balcony_d_7_6,balcony,11.490725999999999,3.275791,19.5,11,2
balcony_d_7_17,balcony,7.536214500000001,1.9142129999999997,19.5,10,1
balcony_d_7_3,balcony,4.349143,3.2621310000000006,19.500000000000004,10,2
balcony_d_7_12,balcony,1.4379274999999991,3.262131000000001,19.5,10,2
balcony_d_7_13,balcony,0.8131260000000007,5.88339,19.5,10,1
balcony_d_7_2,balcony,0.8131260000000002,7.399237,19.499999999999996,10,1
balcony_d_7_1,balcony,1.8642119999999986,10.277198499999999,19.5,10,1
balcony_d_8_5,balcony,4.349142999999997,0.4996309999999997,22.499999999999996,12,1
balcony_d_8_4,balcony,1.4379274999999985,0.49963099999999977,22.499999999999996,11,2
balcony_d_1_18,balcony,13.110985499999998,3.2757909999999995,1.4999999999999996,12,1
balcony_d_1_6,balcony,11.490725999999997,3.2757909999999995,1.5,11,2
balcony_d_1_17,balcony,7.5362145000000025,1.9142130000000002,1.5000000000000002,10,1
balcony_d_1_3,balcony,4.349142999999999,3.2621310000000014,1.4999999999999998,10,2
balcony_d_1_12,balcony,1.4379274999999982,3.262131,1.5,10,2
balcony_d_1_13,balcony,0.8131260000000008,5.88339,1.4999999999999998,10,1
balcony_d_1_2,balcony,0.813126,7.3992369999999985,1.5,10,1
balcony_d_1_1,balcony,1.8642119999999986,10.277198499999999,1.5,10,1
balcony_d_2_18,balcony,13.1109855,3.275791,4.499999999999999,12,1
balcony_d_2_6,balcony,11.490725999999997,3.2757909999999995,4.499999999999999,11,2
balcony_d_2_17,balcony,7.536214500000002,1.9142129999999995,4.500000000000001,10,1
balcony_d_2_3,balcony,4.349142999999999,3.2621309999999997,4.499999999999998,10,2
balcony_d_2_12,balcony,1.4379274999999987,3.2621310000000006,4.499999999999999,10,2
balcony_d_2_13,balcony,0.8131260000000008,5.88339,4.5,10,1
balcony_d_2_2,balcony,0.813126,7.3992369999999985,4.499999999999999,10,1
balcony_d_2_1,balcony,1.8642119999999989,10.2771985,4.5,10,1
balcony_d_3_18,balcony,13.1109855,3.275791,7.499999999999999,12,1
balcony_d_3_6,balcony,11.490726000000002,3.275791,7.5,11,2
balcony_d_3_17,balcony,7.536214500000002,1.9142129999999993,7.500000000000001,10,1
balcony_d_3_3,balcony,4.349143,3.262131000000001,7.499999999999999,10,2
balcony_d_3_12,balcony,1.4379274999999991,3.262131000000002,7.5,10,2
balcony_d_3_13,balcony,0.8131260000000008,5.8833899999999995,7.5,10,1
balcony_d_3_2,balcony,0.813126,7.3992369999999985,7.499999999999999,10,1
balcony_d_3_1,balcony,1.8642119999999989,10.277198499999999,7.5,10,1
balcony_d_4_18,balcony,13.1109855,3.275791,10.499999999999996,12,1
balcony_d_4_6,balcony,11.490726,3.275791,10.5,11,2
balcony_d_4_17,balcony,7.536214500000002,1.914213,10.500000000000002,10,1
balcony_d_4_3,balcony,4.349143,3.2621310000000006,10.5,10,2
balcony_d_4_12,balcony,1.437927499999999,3.262131000000001,10.5,10,2
balcony_d_4_13,balcony,0.8131260000000006,5.8833899999999995,10.5,10,1
balcony_d_4_2,balcony,0.813126,7.3992369999999985,10.5,10,1
balcony_d_4_1,balcony,1.8642119999999986,10.277198499999999,10.499999999999998,10,1
balcony_d_5_18,balcony,13.110985499999998,3.2757909999999995,13.499999999999998,12,1
balcony_d_5_6,balcony,11.490726,3.275791,13.5,11,2
balcony_d_5_17,balcony,7.5362145,1.9142129999999995,13.5,10,1
balcony_d_5_3,balcony,4.349143,3.2621310000000006,13.500000000000002,10,2
balcony_d_5_12,balcony,1.4379274999999991,3.262131000000001,13.5,10,2
balcony_d_5_13,balcony,0.8131260000000008,5.88339,13.500000000000002,10,1
balcony_d_5_2,balcony,0.813126,7.3992369999999985,13.499999999999998,10,1
balcony_d_5_1,balcony,1.8642119999999989,10.2771985,13.499999999999998,10,1
balcony_d_6_18,balcony,13.1109855,3.275791,16.499999999999996,8,1
balcony_d_6_6,balcony,11.490726,3.275791,16.5,7,2
balcony_d_6_17,balcony,7.5362145,1.9142129999999993,16.5,6,1
balcony_d_6_3,balcony,4.349143,3.2621310000000006,16.5,6,2
balcony_d_6_12,balcony,1.4379274999999991,3.262131000000001,16.5,6,2
balcony_d_6_13,balcony,0.8131260000000008,5.883390000000001,16.5,6,1
balcony_d_6_2,balcony,0.813126,7.399237,16.499999999999996,6,1
balcony_d_6_1,balcony,1.8642119999999989,10.2771985,16.5,6,1
balcony_d_7_5,balcony,4.349142999999997,0.4996309999999997,19.499999999999996,12,1
balcony_d_7_4,balcony,1.4379274999999985,0.49963099999999977,19.499999999999996,11,2
balcony_d_1_5,balcony,4.349142999999997,0.4996309999999997,1.4999999999999996,12,1
balcony_d_1_4,balcony,1.4379274999999987,0.4996309999999997,1.4999999999999998,11,2
balcony_d_2_5,balcony,4.349142999999997,0.4996309999999997,4.499999999999999,12,1
balcony_d_2_4,balcony,1.4379274999999985,0.4996309999999997,4.5,11,2
balcony_d_3_5,balcony,4.349142999999997,0.4996309999999997,7.499999999999998,12,1
balcony_d_3_4,balcony,1.4379274999999985,0.4996309999999997,7.499999999999999,11,2
balcony_d_4_5,balcony,4.349142999999997,0.4996309999999997,10.499999999999998,12,1
balcony_d_4_4,balcony,1.4379274999999985,0.4996309999999997,10.5,11,2
balcony_d_5_5,balcony,4.349142999999997,0.4996309999999997,13.499999999999998,12,1
balcony_d_5_4,balcony,1.4379274999999985,0.4996309999999997,13.499999999999998,11,2
balcony_d_6_5,balcony,4.349142999999997,0.4996309999999997,16.499999999999996,8,1
balcony_d_6_4,balcony,1.4379274999999985,0.4996309999999997,16.499999999999996,7,2
