room_name,room_type,depth,degree
balcony_d_4_3,balcony,10,2
balcony_d_4_12,balcony,10,2
balcony_d_4_13,balcony,10,1
balcony_d_4_2,balcony,10,1
balcony_d_4_1,balcony,10,1
balcony_d_5_17,balcony,10,1
balcony_d_5_3,balcony,10,2
balcony_d_5_12,balcony,10,2
balcony_d_5_13,balcony,10,1
balcony_d_5_2,balcony,10,1
balcony_d_5_1,balcony,10,1
corridor_d_9_1,corridor,10,1
corridor_d_9_9,corridor,10,2
corridor_d_8_9,corridor,10,2
corridor_d_8_1,corridor,10,1
corridor_d_9_8,corridor,10,1
corridor_d_9_3,corridor,10,2
corridor_d_7_9,corridor,10,2
corridor_d_7_1,corridor,10,1
corridor_d_8_3,corridor,10,2
corridor_d_8_8,corridor,10,1
corridor_d_1_9,corridor,10,2
corridor_d_1_1,corridor,10,1
corridor_d_2_9,corridor,10,2
corridor_d_2_1,corridor,10,1
corridor_d_3_9,corridor,10,2
corridor_d_3_1,corridor,10,1
corridor_d_4_9,corridor,10,2
corridor_d_4_1,corridor,10,1
corridor_d_5_9,corridor,10,2
corridor_d_5_1,corridor,10,1
corridor_d_9_7,corridor,10,2
corridor_d_9_13,corridor,10,1
corridor_d_7_3,corridor,10,2
corridor_d_7_8,corridor,10,1
corridor_d_8_13,corridor,10,1
corridor_d_8_7,corridor,10,2
corridor_d_1_3,corridor,10,2
corridor_d_1_8,corridor,10,1
corridor_d_2_3,corridor,10,2
corridor_d_2_8,corridor,10,1
corridor_d_3_3,corridor,10,2
corridor_d_3_8,corridor,10,1
corridor_d_4_3,corridor,10,2
corridor_d_4_8,corridor,10,1
corridor_d_5_3,corridor,10,2
corridor_d_5_8,corridor,10,1
corridor_d_7_13,corridor,10,1
corridor_d_7_7,corridor,10,2
corridor_d_1_13,corridor,10,1
corridor_d_1_7,corridor,10,2
corridor_d_2_13,corridor,10,1
corridor_d_2_7,corridor,10,2
corridor_d_3_13,corridor,10,1
corridor_d_3_7,corridor,10,2
corridor_d_4_13,corridor,10,1
corridor_d_4_7,corridor,10,2
corridor_d_5_13,corridor,10,1
corridor_d_5_7,corridor,10,2
balcony_d_9_19,balcony,11,2
balcony_d_9_7,balcony,11,2
balcony_d_8_19,balcony,11,2
balcony_d_8_7,balcony,11,2
balcony_d_9_6,balcony,11,2
balcony_d_7_19,balcony,11,2
balcony_d_7_7,balcony,11,2
balcony_d_8_6,balcony,11,2
balcony_d_1_19,balcony,11,2
balcony_d_1_7,balcony,11,2
balcony_d_2_19,balcony,11,2
balcony_d_2_7,balcony,11,2
balcony_d_3_19,balcony,11,2
balcony_d_3_7,balcony,11,2
balcony_d_4_19,balcony,11,2
balcony_d_4_7,balcony,11,2
balcony_d_5_19,balcony,11,2
balcony_d_5_7,balcony,11,2
balcony_d_9_4,balcony,11,2
balcony_d_7_6,balcony,11,2
balcony_d_8_4,balcony,11,2
balcony_d_1_6,balcony,11,2
balcony_d_2_6,balcony,11,2
balcony_d_3_6,balcony,11,2
balcony_d_4_6,balcony,11,2
balcony_d_5_6,balcony,11,2
balcony_d_7_4,balcony,11,2
balcony_d_1_4,balcony,11,2
balcony_d_2_4,balcony,11,2
balcony_d_3_4,balcony,11,2
balcony_d_4_4,balcony,11,2
balcony_d_5_4,balcony,11,2
corridor_d_9_4,corridor,11,2
corridor_d_8_4,corridor,11,2
corridor_d_7_4,corridor,11,2
corridor_d_1_4,corridor,11,2
corridor_d_2_4,corridor,11,2
corridor_d_3_4,corridor,11,2
corridor_d_4_4,corridor,11,2
corridor_d_5_4,corridor,11,2
balcony_d_9_9,balcony,12,1
balcony_d_8_9,balcony,12,1
balcony_d_9_18,balcony,12,1
balcony_d_1_9,balcony,12,1
balcony_d_7_9,balcony,12,1
balcony_d_5_9,balcony,12,1
balcony_d_4_9,balcony,12,1
balcony_d_3_9,balcony,12,1
balcony_d_2_9,balcony,12,1
balcony_d_8_18,balcony,12,1
balcony_d_9_5,balcony,12,1
balcony_d_7_18,balcony,12,1
balcony_d_8_5,balcony,12,1
balcony_d_1_18,balcony,12,1
balcony_d_2_18,balcony,12,1
balcony_d_3_18,balcony,12,1
balcony_d_4_18,balcony,12,1
balcony_d_5_18,balcony,12,1
balcony_d_7_5,balcony,12,1
balcony_d_1_5,balcony,12,1
balcony_d_2_5,balcony,12,1
balcony_d_3_5,balcony,12,1
balcony_d_4_5,balcony,12,1
balcony_d_5_5,balcony,12,1
corridor_d_9_5,corridor,12,1
corridor_d_8_5,corridor,12,1
corridor_d_9_6,corridor,12,1
corridor_d_7_5,corridor,12,1
corridor_d_8_6,corridor,12,1
corridor_d_1_5,corridor,12,1
corridor_d_2_5,corridor,12,1
corridor_d_3_5,corridor,12,1
corridor_d_4_5,corridor,12,1
corridor_d_5_5,corridor,12,1
corridor_d_7_6,corridor,12,1
corridor_d_1_6,corridor,12,1
corridor_d_2_6,corridor,12,1
corridor_d_3_6,corridor,12,1
corridor_d_4_6,corridor,12,1
corridor_d_5_6,corridor,12,1
